Period,Player,Group,Observer,GroupType,MarketPaid,Bid,BidIndex,Won,Value,PricePaid,Profit,TotalCash
3,14,1,-1,large,True,19.25,3,No,21.64,,0,17.18,
3,14,1,-1,small,False,21,2,No,21.64,,0,17.18,
4,1,2,-1,large,False,50,1,Yes,16.1,5.25,10.85,27.3,
4,1,3,-1,small,True,50,1,Yes,16.1,5,11.1,27.3,
4,2,1,-1,large,False,1.75,10,No,3.43,,0,10,
4,2,2,-1,small,True,1.5,4,No,3.43,,0,10,
4,3,1,-1,large,False,16,3,No,16.83,,0,10,
4,3,1,-1,small,True,14.25,4,No,16.83,,0,10,
4,4,1,-1,large,False,50,1,Yes,22.19,17.5,4.69,16.26,
4,4,1,-1,small,True,50,1,Yes,22.19,17.5,4.69,16.26,
4,5,1,-1,large,False,13.25,5,No,16.1,,0,17.1,
4,5,2,-1,small,True,50,1,Yes,16.1,9,7.1,17.1,
4,6,2,-1,large,False,0.75,4,No,3.43,,0,10,
4,6,3,-1,small,True,0.75,3,No,3.43,,0,10,
4,7,2,-1,large,False,5.25,2,No,7.06,,0,22.27,
4,7,3,-1,small,True,5,2,No,7.06,,0,22.27,
4,8,1,-1,large,False,17.5,2,No,19.1,,0,24.3,
4,8,1,-1,small,True,17.5,2,No,19.1,,0,24.3,
4,9,1,-1,large,False,9.5,6,No,10.08,,0,10,
4,9,2,-1,small,True,9,2,No,10.08,,0,10,
4,10,2,-1,large,False,1,3,No,0.28,,0,15.88,
4,10,3,-1,small,True,0.25,4,No,0.28,,0,15.88,
4,11,1,-1,large,False,15,4,No,17.36,,0,10,
4,11,1,-1,small,True,14.75,3,No,17.36,,0,10,
4,12,1,-1,large,False,7.5,7,No,10.41,,0,10,
4,12,1,-1,small,True,9,5,No,10.41,,0,10,
4,13,1,-1,large,False,5.75,8,No,7.06,,0,10,
4,13,2,-1,small,True,4.75,3,No,7.06,,0,10,
4,14,1,-1,large,False,3.5,9,No,0.28,,0,17.18,
4,14,2,-1,small,True,0.25,5,No,0.28,,0,17.18,
5,1,1,-1,large,False,5,9,No,5.58,,0,27.3,
5,1,1,-1,small,True,3,5,No,5.58,,0,27.3,
5,2,1,-1,large,False,12,7,No,14.68,,0,10,
5,2,2,-1,small,True,12,4,No,14.68,,0,10,
5,3,1,-1,large,False,25.75,2,No,27.62,,0,14.12,
5,3,2,-1,small,True,50,1,Yes,27.62,23.5,4.12,14.12,
5,4,1,-1,large,False,5.75,8,No,5.64,,0,16.26,
5,4,1,-1,small,True,5.25,4,No,5.64,,0,16.26,
5,5,1,-1,large,False,4.75,10,No,7.62,,0,17.1,
5,5,2,-1,small,True,6.25,5,No,7.62,,0,17.1,
5,6,2,-1,large,False,22.75,2,No,25.51,,0,10,
5,6,3,-1,small,True,23.5,2,No,25.51,,0,10,
5,7,1,-1,large,False,15,6,No,17.62,,0,22.27,
5,7,2,-1,small,True,17,3,No,17.62,,0,22.27,
5,8,1,-1,large,False,50,1,Yes,27.61,25.75,1.86,30.16,
5,8,1,-1,small,True,50,1,Yes,27.61,21.75,5.86,30.16,
5,9,2,-1,large,False,50,1,Yes,27.62,22.75,4.87,14.12,
5,9,3,-1,small,True,50,1,Yes,27.62,23.5,4.12,14.12,
5,10,1,-1,large,False,23.5,4,No,25.51,,0,15.88,
5,10,2,-1,small,True,23.5,2,No,25.51,,0,15.88,
5,11,1,-1,large,False,15.5,5,No,14.14,,0,10,
5,11,1,-1,small,True,12.75,3,No,14.14,,0,10,
5,12,2,-1,large,False,17,3,No,17.62,,0,10,
5,12,3,-1,small,True,15.25,3,No,17.62,,0,10,
5,13,1,-1,large,False,24.25,3,No,24.54,,0,10,
5,13,1,-1,small,True,21.75,2,No,24.54,,0,10,
5,14,2,-1,large,False,7.5,4,No,7.62,,0,17.18,
5,14,3,-1,small,True,9.25,4,No,7.62,,0,17.18,
6,1,1,-1,large,False,10,7,No,12.44,,0,27.3,
6,1,2,-1,small,True,11.5,4,No,12.44,,0,27.3,
6,2,1,-1,large,False,1,10,No,1.91,,0,10,
6,2,1,-1,small,True,2.25,5,No,1.91,,0,10,
6,3,2,-1,large,False,10.75,4,No,12.44,,0,14.12,
6,3,3,-1,small,True,10,3,No,12.44,,0,14.12,
6,4,1,-1,large,False,15,4,No,16.27,,0,16.26,
6,4,2,-1,small,True,16.5,2,No,16.27,,0,16.26,
6,5,1,-1,large,False,4,8,No,6.63,,0,17.1,
6,5,2,-1,small,True,4.25,5,No,6.63,,0,17.1,
6,6,1,-1,large,False,21.5,2,No,19.52,,0,10,
6,6,1,-1,small,True,16.75,2,No,19.52,,0,10,
6,7,1,-1,large,False,14,5,No,16.8,,0,22.27,
6,7,1,-1,small,True,14.5,3,No,16.8,,0,22.27,
6,8,2,-1,large,False,15.5,2,No,6.63,,0,30.16,
6,8,3,-1,small,True,5,4,No,6.63,,0,30.16,
6,9,2,-1,large,False,50,1,Yes,19.01,15.5,3.51,19.63,
6,9,3,-1,small,True,50,1,Yes,19.01,13.5,5.51,19.63,
6,10,1,-1,large,False,50,1,Yes,22.83,21.5,1.33,21.96,
6,10,1,-1,small,True,50,1,Yes,22.83,16.75,6.08,21.96,
6,11,1,-1,large,False,12,6,No,14.86,,0,10,
6,11,2,-1,small,True,12.25,3,No,14.86,,0,10,
6,12,1,-1,large,False,4,9,No,6.53,,0,10,
6,12,1,-1,small,True,4,4,No,6.53,,0,10,
6,13,2,-1,large,False,12,3,No,14.86,,0,10,
6,13,3,-1,small,True,13.5,2,No,14.86,,0,10,
6,14,1,-1,large,False,17.5,3,No,19.01,,0,19.69,
6,14,2,-1,small,True,50,1,Yes,19.01,16.5,2.51,19.69,
7,1,1,-1,large,True,15,6,No,16.05,,0,27.3,
7,1,2,-1,small,False,13.25,3,No,16.05,,0,27.3,
7,2,1,-1,large,True,12.75,7,No,15.14,,0,10,
7,2,2,-1,small,False,13.5,2,No,15.14,,0,10,
7,3,2,-1,large,True,15.75,2,No,16.05,,0,14.12,
7,3,3,-1,small,False,14.5,3,No,16.05,,0,14.12,
7,4,1,-1,large,True,11.25,8,No,10.32,,0,16.26,
7,4,1,-1,small,False,8.25,5,No,10.32,,0,16.26,
7,5,1,-1,large,True,22,4,No,24.29,,0,17.1,
7,5,1,-1,small,False,21.75,4,No,24.29,,0,17.1,
7,6,2,-1,large,True,9.75,4,No,9.16,,0,10,
7,6,3,-1,small,False,8,4,No,9.16,,0,10,
7,7,2,-1,large,True,50,1,Yes,27.94,15.75,12.19,34.46,
7,7,3,-1,small,False,50,1,Yes,27.94,19,8.94,34.46,
7,8,1,-1,large,True,23,3,No,25.77,,0,30.16,
7,8,1,-1,small,False,24,2,No,25.77,,0,30.16,
7,9,1,-1,large,True,21.25,5,No,24.01,,0,19.63,
7,9,1,-1,small,False,22,3,No,24.01,,0,19.63,
7,10,1,-1,large,True,24,2,No,21.87,,0,21.96,
7,10,1,-1,small,False,50,1,Yes,21.87,24,-2.13,21.96,
7,11,2,-1,large,True,12.25,3,No,15.14,,0,10,
7,11,3,-1,small,False,19,2,No,15.14,,0,10,
7,12,1,-1,large,True,6.25,9,No,9.16,,0,10,
7,12,2,-1,small,False,6.75,4,No,9.16,,0,10,
7,13,1,-1,large,True,50,1,Yes,27.94,24,3.94,13.94,
7,13,2,-1,small,False,50,1,Yes,27.94,13.5,14.44,13.94,
7,14,1,-1,large,True,0.25,10,No,0.27,,0,19.69,
7,14,2,-1,small,False,1.75,5,No,0.27,,0,19.69,
8,1,1,-1,large,False,11.75,6,No,11.13,,0,27.3,
8,1,2,-1,small,True,8.25,4,No,11.13,,0,27.3,
8,2,1,-1,large,False,22.5,2,No,25.21,,0,10,
8,2,2,-1,small,True,23.25,2,No,25.21,,0,10,
8,3,1,-1,large,False,50,1,Yes,25.11,22.5,2.61,15.98,
8,3,2,-1,small,True,50,1,Yes,25.11,23.25,1.86,15.98,
8,4,2,-1,large,False,8.75,3,No,10.96,,0,16.26,
8,4,3,-1,small,True,8.5,4,No,10.96,,0,16.26,
8,5,1,-1,large,False,14.75,5,No,15.44,,0,17.1,
8,5,1,-1,small,True,13,2,No,15.44,,0,17.1,
8,6,1,-1,large,False,8,8,No,9.75,,0,10,
8,6,1,-1,small,True,7.5,4,No,9.75,,0,10,
8,7,1,-1,large,False,4.75,10,No,7.75,,0,34.46,
8,7,1,-1,small,True,5.25,5,No,7.75,,0,34.46,
8,8,2,-1,large,False,50,1,Yes,25.21,20.25,4.96,35.87,
8,8,3,-1,small,True,50,1,Yes,25.21,19.5,5.71,35.87,
8,9,1,-1,large,False,19.5,4,No,21.77,,0,28.4,
8,9,1,-1,small,True,50,1,Yes,21.77,13,8.77,28.4,
8,10,1,-1,large,False,8.25,7,No,10.96,,0,21.96,
8,10,2,-1,small,True,8,5,No,10.96,,0,21.96,
8,11,2,-1,large,False,20.25,2,No,22.32,,0,10,
8,11,3,-1,small,True,19.5,2,No,22.32,,0,10,
8,12,1,-1,large,False,21.25,3,No,22.32,,0,10,
8,12,2,-1,small,True,19.75,3,No,22.32,,0,10,
8,13,1,-1,large,False,7,9,No,9.51,,0,13.94,
8,13,1,-1,small,True,9.5,3,No,9.51,,0,13.94,
8,14,2,-1,large,False,8.75,4,No,11.13,,0,19.69,
8,14,3,-1,small,True,8.75,3,No,11.13,,0,19.69,
9,1,1,-1,large,False,18.75,4,No,21.31,,0,27.3,
9,1,1,-1,small,True,19.25,2,No,21.31,,0,27.3,
9,2,1,-1,large,False,3,8,No,4.38,,0,10,
9,2,2,-1,small,True,3,4,No,4.38,,0,10,
9,3,2,-1,large,False,3,2,No,5.92,,0,15.98,
9,3,3,-1,small,True,7.75,2,No,5.92,,0,15.98,
9,4,1,-1,large,False,3.75,7,No,5.92,,0,16.26,
9,4,2,-1,small,True,3.25,3,No,5.92,,0,16.26,
9,5,1,-1,large,False,22.25,2,No,25.11,,0,22.96,
9,5,1,-1,small,True,50,1,Yes,25.11,19.25,5.86,22.96,
9,6,2,-1,large,False,2.5,3,No,4.38,,0,10,
9,6,3,-1,small,True,1.75,4,No,4.38,,0,10,
9,7,1,-1,large,False,19.25,3,No,21.91,,0,34.46,
9,7,2,-1,small,True,19,2,No,21.91,,0,34.46,
9,8,2,-1,large,False,50,1,Yes,22.83,3,19.83,50.95,
9,8,3,-1,small,True,50,1,Yes,22.83,7.75,15.08,50.95,
9,9,1,-1,large,False,2.25,10,No,0.17,,0,28.4,
9,9,1,-1,small,True,0.75,5,No,0.17,,0,28.4,
9,10,1,-1,large,False,16.5,6,No,17.84,,0,21.96,
9,10,1,-1,small,True,15.5,4,No,17.84,,0,21.96,
9,11,2,-1,large,False,1.5,4,No,4.23,,0,10,
9,11,3,-1,small,True,1.75,3,No,4.23,,0,10,
9,12,1,-1,large,False,16.5,5,No,16.4,,0,10,
9,12,1,-1,small,True,16.25,3,No,16.4,,0,10,
9,13,1,-1,large,False,50,1,Yes,22.83,22.25,0.579999999999998,17.77,
9,13,2,-1,small,True,50,1,Yes,22.83,19,3.83,17.77,
9,14,1,-1,large,False,3,9,No,4.23,,0,19.69,
9,14,2,-1,small,True,1.25,5,No,4.23,,0,19.69,
10,1,2,-1,large,True,50,1,Yes,24.26,6,18.26,45.56,
10,1,3,-1,small,False,50,1,Yes,24.26,5.5,18.76,45.56,
10,2,1,-1,large,True,5.5,6,No,8.17,,0,10,
10,2,2,-1,small,False,5.25,2,No,8.17,,0,10,
10,3,1,-1,large,True,2.75,8,No,3.6,,0,15.98,
10,3,2,-1,small,False,2,5,No,3.6,,0,15.98,
10,4,1,-1,large,True,3,7,No,5.94,,0,16.26,
10,4,2,-1,small,False,3.5,3,No,5.94,,0,16.26,
10,5,1,-1,large,True,6.75,5,No,8.75,,0,22.96,
10,5,1,-1,small,False,6.75,4,No,8.75,,0,22.96,
10,6,1,-1,large,True,1.75,10,No,4.66,,0,10,
10,6,1,-1,small,False,2,5,No,4.66,,0,10,
10,7,1,-1,large,True,12,3,No,14.34,,0,34.46,
10,7,1,-1,small,False,12.75,2,No,14.34,,0,34.46,
10,8,1,-1,large,True,11,4,No,13.06,,0,50.95,
10,8,1,-1,small,False,12,3,No,13.06,,0,50.95,
10,9,2,-1,large,True,6,2,No,8.17,,0,28.4,
10,9,3,-1,small,False,5.5,2,No,8.17,,0,28.4,
10,10,1,-1,large,True,13.5,2,No,15.3,,0,21.96,
10,10,1,-1,small,False,50,1,Yes,15.3,12.75,2.55,21.96,
10,11,2,-1,large,True,4.75,3,No,5.94,,0,10,
10,11,3,-1,small,False,4,3,No,5.94,,0,10,
10,12,2,-1,large,True,2.75,4,No,4.97,,0,10,
10,12,3,-1,small,False,2,4,No,4.97,,0,10,
10,13,1,-1,large,True,2.25,9,No,4.97,,0,17.77,
10,13,2,-1,small,False,3.25,4,No,4.97,,0,17.77,
10,14,1,-1,large,True,50,1,Yes,24.26,13.5,10.76,30.45,
10,14,2,-1,small,False,50,1,Yes,24.26,5.25,19.01,30.45,
,
Number,Name,Student ID,Experiment Earnings,Quiz Earnings,Quiz Answer 1,Quiz Result 1,Quiz Answer 2,Quiz Result 2,Quiz Answer 3,Quiz Result 3,Quiz Answer 4,Quiz Result 4,Quiz Answer 5,Quiz Result 5,
1,Instruction Robot 1,77123,$45.56,$2.50,4,Correct,0,Correct,y,Correct,n,Correct,28.3,Correct,,,
2,Instruction Robot 2,50073,$10.00,$2.50,4,Correct,0,Correct,y,Correct,n,Correct,28.3,Correct,,,
3,Instruction Robot 3,78401,$15.98,$2.50,4,Correct,0,Correct,y,Correct,n,Correct,28.3,Correct,,,
4,Instruction Robot 4,87416,$16.26,$2.50,4,Correct,0,Correct,y,Correct,n,Correct,28.3,Correct,,,
5,Instruction Robot 5,52156,$22.96,$2.50,4,Correct,0,Correct,y,Correct,n,Correct,28.3,Correct,,,
6,Instruction Robot 6,77904,$10.00,$2.50,4,Correct,0,Correct,y,Correct,n,Correct,28.3,Correct,,,
7,Instruction Robot 7,18707,$34.46,$2.50,4,Correct,0,Correct,y,Correct,n,Correct,28.3,Correct,,,
8,Instruction Robot 8,16647,$50.95,$2.50,4,Correct,0,Correct,y,Correct,n,Correct,28.3,Correct,,,
9,Instruction Robot 9,34317,$28.40,$2.50,4,Correct,0,Correct,y,Correct,n,Correct,28.3,Correct,,,
10,Instruction Robot 10,66795,$21.96,$2.50,4,Correct,0,Correct,y,Correct,n,Correct,28.3,Correct,,,
11,Instruction Robot 11,23266,$10.00,$2.50,4,Correct,0,Correct,y,Correct,n,Correct,28.3,Correct,,,
12,Instruction Robot 12,81612,$10.00,$2.50,4,Correct,0,Correct,y,Correct,n,Correct,28.3,Correct,,,
13,Instruction Robot 13,74892,$17.77,$2.50,4,Correct,0,Correct,y,Correct,n,Correct,28.3,Correct,,,
14,Instruction Robot 14,15135,$30.45,$2.50,4,Correct,0,Correct,y,Correct,n,Correct,28.3,Correct,,,
